net,length_um
alu.Result\[3\],46.68
_0335_,46.54
_1008_,46.06
_0300_,45.925
_0968_,45.9
regfile.regfile\[0\]\[0\],45.76
_0264_,45.64
imem.pc\[0\],45.405
_0219_,45.18
regfile.regfile\[16\]\[2\],44.94
regfile.regfile\[16\]\[19\],44.84
_0741_,44.58
_0994_,44.26
_0635_,44.16
_0543_,43.92
alu.Result\[1\],43.62
_0460_,43.38
_1028_,43.38
_0407_,43.02
_1025_,42.22
_0727_,42.02
_0718_,41.2
net26,40.86
_1152_,40.82
regfile.regfile\[16\]\[5\],40.8
_0691_,40.58
_0859_,40.54
regfile.regfile\[0\]\[3\],40.06
_0436_,39.98
net19,39.82
_1053_,39.56
regfile.regfile\[0\]\[23\],39.505
_0301_,39.3
_0964_,39.24
_0776_,39.22
net40,39.16
_0529_,39.08
_1082_,39.02
_1019_,38.94
_0360_,38.86
_0762_,38.78
_0619_,38.66
_1142_,38.52
regfile.regfile\[16\]\[3\],38.28
_1070_,38.18
_0370_,38.06
regfile.regfile\[16\]\[18\],37.96
_0244_,37.9
regfile.regfile\[0\]\[22\],37.74
_1081_,37.6
_0874_,37.56
_0379_,37.26
regfile.regfile\[16\]\[10\],37.14
_0876_,37
_0391_,36.94
regfile.regfile\[0\]\[2\],36.82
_0312_,36.78
regfile.regfile\[16\]\[13\],36.72
_1023_,36.56
imem.pc\[2\],36.4
regfile.regfile\[0\]\[17\],36.4
_0680_,36.3
_0641_,36.26
_0329_,36.1
_0652_,36.1
_1000_,36.06
_1069_,36
regfile.regfile\[0\]\[10\],35.96
regfile.regfile\[0\]\[29\],35.92
_1115_,35.72
_1126_,35.7
_0416_,35.52
regfile.regfile\[16\]\[27\],35.46
_0783_,35.12
_0852_,35.08
_0324_,34.92
_0784_,34.88
_0435_,34.42
regfile.regfile\[7\]\[2\],34.1
_0972_,33.98
_0438_,33.96
_0850_,33.96
_0313_,33.82
_0853_,33.74
regfile.regfile\[16\]\[31\],33.5
_0945_,33.35
_1113_,33.24
_0364_,33.16
regfile.regfile\[18\]\[20\],33.14
_0756_,33.12
_0944_,33.08
_1135_,33.06
_0781_,32.68
_0356_,32.64
_0317_,32.63
regfile.regfile\[16\]\[23\],32.38
_0830_,32.3
_0710_,32.25
net33,32.04
_0457_,31.98
regfile.regfile\[16\]\[17\],31.96
_1155_,31.94
_1090_,31.8
_0891_,31.62
_0678_,31.3
_0697_,31.22
_1030_,30.64
_0284_,30.6
_0521_,30.58
_0777_,30.52
_0614_,30.36
regfile.regfile\[0\]\[14\],30.32
_0834_,30.24
_0609_,30.21
_0948_,30.2
_0405_,30.16
regfile.regfile\[0\]\[31\],30.16
_0918_,30.12
_1141_,29.82
_0269_,29.79
_0355_,29.74
_0507_,29.74
_0971_,29.66
_0629_,29.575
_0655_,29.3
regfile.regfile\[16\]\[12\],29.08
regfile.regfile\[16\]\[28\],29.04
regfile.regfile\[0\]\[12\],28.96
_1045_,28.92
_0642_,28.82
_0996_,28.8
_0412_,28.74
_0628_,28.6
regfile.regfile\[16\]\[25\],28.4
regfile.regfile\[12\]\[4\],28.34
_1119_,28.18
_0223_,28.12
_0342_,28.015
_0706_,27.78
_0982_,27.72
_0414_,27.7
regfile.regfile\[16\]\[26\],27.6
_0792_,27.56
_0645_,27.54
_0716_,27.54
regfile.regfile\[18\]\[2\],27.5
_0347_,27.34
regfile.regfile\[16\]\[29\],27.3
_1289_,27.26
regfile.regfile\[12\]\[10\],27.18
_0266_,26.86
_0212_,26.645
_1059_,26.56
_1287_,26.38
_0799_,26.355
regfile.regfile\[0\]\[30\],26.34
_0998_,26.32
_1098_,26.32
regfile.regfile\[18\]\[27\],26.26
_0788_,25.96
_0954_,25.68
_0386_,25.38
_1285_,25.34
_0753_,25.26
_0731_,25.22
_0967_,25.06
_0694_,24.96
_0290_,24.92
_1154_,24.72
_1033_,24.68
regfile.regfile\[12\]\[7\],24.54
regfile.regfile\[7\]\[19\],24.48
_0749_,24.38
_1109_,24.26
regfile.regfile\[12\]\[5\],24.24
regfile.regfile\[16\]\[20\],24.24
_0835_,24.175
regfile.regfile\[0\]\[24\],24.12
_0389_,23.92
_1110_,23.84
_0907_,23.48
_1123_,23.38
regfile.regfile\[7\]\[4\],23.36
regfile.regfile\[18\]\[9\],23.3
_0258_,23.28
_0931_,23.28
_1097_,23.28
_0707_,23.2
_1047_,23.2
regfile.regfile\[0\]\[13\],23.08
_1020_,23.06
regfile.regfile\[21\]\[2\],22.94
_0541_,22.62
_0275_,22.6
_0956_,22.5
regfile.regfile\[18\]\[11\],22.5
_0846_,22.48
regfile.regfile\[12\]\[18\],22.48
_0817_,22.46
_0914_,22.46
regfile.regfile\[20\]\[5\],22.46
_0238_,22.42
_0939_,22.42
_0346_,22.36
regfile.regfile\[21\]\[10\],22.28
_0237_,22.2
_1117_,22.18
_0491_,22.06
_0333_,21.96
_0885_,21.84
_0656_,21.82
_1057_,21.76
_1114_,21.74
_1029_,21.62
_0782_,21.58
_1149_,21.58
_0452_,21.54
_0677_,21.54
_1077_,21.54
_0321_,21.46
regfile.regfile\[18\]\[19\],21.46
_0938_,21.42
_0955_,21.38
_0065_,21.105
_0260_,21
_0838_,21
regfile.regfile\[18\]\[29\],20.88
net23,20.88
_0634_,20.76
_0866_,20.74
_0750_,20.72
regfile.regfile\[16\]\[22\],20.72
_0365_,20.7
_0502_,20.68
regfile.regfile\[21\]\[19\],20.54
_0919_,20.42
_0539_,20.36
_0985_,20.36
_0943_,20.32
_0501_,20.28
regfile.regfile\[18\]\[25\],20.26
_0504_,20.2
_0905_,20.2
_0662_,20.16
regfile.regfile\[18\]\[24\],20.14
_0703_,20.08
_1144_,20.06
regfile.regfile\[21\]\[1\],19.9
_1211_,19.86
regfile.regfile\[12\]\[3\],19.74
regfile.regfile\[7\]\[25\],19.74
_0831_,19.7
_0495_,19.62
regfile.regfile\[12\]\[2\],19.62
_0984_,19.52
_0923_,19.5
_0646_,19.48
_1054_,19.435
_0752_,19.365
_0824_,19.3
regfile.regfile\[21\]\[22\],19.06
_0274_,18.94
regfile.regfile\[0\]\[26\],18.94
_0607_,18.8
regfile.regfile\[18\]\[30\],18.8
regfile.regfile\[12\]\[24\],18.76
_0259_,18.74
_0660_,18.74
regfile.regfile\[0\]\[15\],18.74
_0693_,18.68
_0348_,18.64
regfile.regfile\[21\]\[27\],18.64
_0726_,18.56
_0204_,18.54
_1168_,18.48
_0953_,18.44
_1291_,18.4
regfile.regfile\[20\]\[1\],18.38
regfile.regfile\[7\]\[29\],18.18
_0307_,18.14
_1040_,18.12
_0408_,18.08
_0482_,18.04
_0621_,17.98
_0737_,17.96
_0166_,17.92
_0640_,17.9
_1157_,17.82
_1204_,17.7
_1197_,17.6
regfile.regfile\[18\]\[10\],17.6
_0827_,17.56
_0881_,17.56
_0789_,17.52
regfile.regfile\[12\]\[0\],17.52
_0823_,17.48
_1129_,17.48
_1198_,17.44
_0929_,17.4
_0549_,17.38
