net,length_um
net20,4.82
_0200_,4.805
_0203_,4.805
_0299_,4.8
_0309_,4.8
_0353_,4.8
_0388_,4.8
_0639_,4.8
_0950_,4.8
_1078_,4.8
_0130_,4.795
_0563_,4.76
_0565_,4.76
_1035_,4.76
_0190_,4.755
_0032_,4.725
_0086_,4.7
_0174_,4.7
_0186_,4.7
_1272_,4.68
_0492_,4.66
_0794_,4.66
_0095_,4.625
_1134_,4.62
_0153_,4.605
_0037_,4.585
_0047_,4.585
_0057_,4.585
_0090_,4.585
_0121_,4.585
_0189_,4.585
_0357_,4.58
_0035_,4.505
_0742_,4.48
_0490_,4.46
_0601_,4.46
_0618_,4.46
_0951_,4.46
_1096_,4.46
regfile.regfile\[21\]\[21\],4.46
_1092_,4.44
_0187_,4.425
_0235_,4.42
_0429_,4.42
_0567_,4.42
_0991_,4.42
_1309_,4.42
_0175_,4.385
_0167_,4.36
_1056_,4.36
_0505_,4.34
_0547_,4.34
_0594_,4.34
_1209_,4.34
_1270_,4.34
_0039_,4.335
_0108_,4.335
_0169_,4.22
_0368_,4.22
_0791_,4.22
_0861_,4.22
_0926_,4.22
_0002_,4.15
_0820_,4.14
_0070_,4.125
_0965_,4.12
_0754_,4.1
_0860_,4.08
_0925_,4.08
_1026_,4.02
_0516_,4
_0932_,4
_1153_,4
regfile.regfile\[7\]\[28\],4
net21,4
_1006_,3.98
_0119_,3.975
_0063_,3.965
_0137_,3.965
_0009_,3.925
_0341_,3.88
_0359_,3.88
_0369_,3.88
_0527_,3.88
_0648_,3.88
_0690_,3.88
_0897_,3.88
_1021_,3.88
_1253_,3.88
_0011_,3.875
_0015_,3.875
_0014_,3.805
_0879_,3.76
_1118_,3.76
_0098_,3.685
_0745_,3.68
_0025_,3.585
_0653_,3.56
_0872_,3.56
_1032_,3.56
_0261_,3.54
_0373_,3.54
_0427_,3.54
_0666_,3.54
_0941_,3.54
_0958_,3.54
_0990_,3.54
_1017_,3.54
_1259_,3.54
_1273_,3.54
net27,3.54
_0017_,3.515
_0178_,3.505
_0155_,3.465
_0156_,3.465
_0802_,3.42
_0842_,3.42
_0855_,3.42
_0888_,3.42
_1034_,3.42
_1036_,3.42
_0028_,3.345
_0148_,3.34
_0616_,3.3
_0713_,3.3
_0867_,3.3
_0161_,3.245
_0099_,3.225
_0149_,3.225
_0376_,3.22
_0889_,3.22
_0120_,3.145
_0192_,3.145
_0454_,3.1
_0479_,3.1
_0311_,3.08
_0568_,3.08
_0915_,3.08
_1258_,3.08
_1283_,3.08
_1286_,3.08
_0029_,3.045
_0066_,3.045
_0194_,3.045
_0197_,3.045
_0073_,3.005
_0177_,3.005
_0093_,2.98
_0144_,2.98
_0210_,2.98
_1280_,2.98
_0257_,2.96
_0265_,2.96
_0962_,2.96
_1005_,2.96
_1274_,2.96
_0059_,2.955
_0116_,2.955
_0179_,2.955
_0041_,2.945
_0188_,2.945
_0074_,2.88
_0024_,2.86
_0080_,2.86
_0081_,2.86
_0083_,2.86
_0088_,2.86
_0110_,2.86
_0685_,2.84
_0005_,2.785
_0008_,2.785
_0020_,2.785
_0026_,2.785
_0053_,2.785
_0067_,2.785
_0084_,2.785
_0101_,2.785
_0152_,2.785
_0291_,2.76
_0422_,2.76
_0489_,2.76
_0537_,2.76
_0714_,2.76
_0738_,2.72
_0075_,2.715
_0304_,2.64
_0344_,2.64
_0403_,2.64
_0763_,2.64
_0995_,2.64
_0292_,2.62
_0508_,2.62
_0573_,2.62
_0708_,2.62
_0989_,2.62
_1012_,2.62
_1145_,2.62
_1246_,2.62
_0064_,2.585
_0021_,2.545
_0146_,2.545
_0158_,2.545
_0798_,2.52
_1276_,2.52
_0315_,2.5
_0534_,2.5
_0562_,2.5
_0574_,2.5
_0779_,2.5
_0844_,2.5
_0961_,2.5
_0023_,2.485
_0138_,2.42
_0141_,2.42
_0150_,2.42
_0326_,2.4
_0003_,2.38
_0038_,2.375
_0052_,2.375
_0060_,2.375
_0027_,2.325
_0034_,2.325
_0154_,2.325
_0587_,2.3
_0668_,2.3
_0828_,2.3
_0833_,2.3
net32,2.3
_0366_,2.28
_0719_,2.28
_1100_,2.28
_0556_,2.18
_0747_,2.18
_1146_,2.18
net15,2.18
_0262_,2.16
_0390_,2.16
_0515_,2.16
_0572_,2.16
_0612_,2.16
_1133_,2.16
_1282_,2.16
_0048_,2.125
_0056_,2.125
_0069_,2.125
_0087_,2.125
_0829_,2.11
_0135_,2.085
_0946_,2.06
_1268_,2.06
_1269_,2.06
_1278_,2.06
_1284_,2.06
_0001_,2.04
_0525_,2.04
_0633_,2.04
_0019_,2.025
_0022_,2.025
_0151_,2.025
_0159_,2.025
_0334_,1.94
_0812_,1.94
_0898_,1.94
_1022_,1.94
net16,1.94
_0136_,1.915
_0051_,1.865
_0133_,1.865
_0157_,1.865
_0242_,1.84
_0330_,1.84
_0593_,1.84
_0910_,1.84
_0308_,1.82
_0729_,1.82
_0832_,1.82
_0477_,1.8
_0630_,1.72
_0654_,1.72
_0848_,1.72
_1140_,1.72
_0228_,1.7
_0253_,1.7
_0636_,1.7
_0739_,1.7
_0804_,1.7
_0439_,1.68
_0318_,1.6
_0942_,1.6
_1279_,1.6
_1281_,1.6
_0030_,1.575
_0147_,1.405
_0201_,1.405
_0557_,1.38
_0581_,1.38
_0591_,1.38
_0712_,1.38
_0856_,1.38
_0209_,1.26
_0733_,1.26
_0978_,1.26
_0611_,1.14
_0759_,1.14
_0843_,1.14
_0564_,0.92
_0523_,0.8
_0561_,0.46
_0577_,0.46
_0584_,0.46
_0588_,0.46
