net,length_um
_2050_,452.24
_1787_,451.64
_2119_,449.76
net7,446.86
net28,446.16
_1628_,446.12
_1881_,445.81
clknet_4_2__leaf_clk,445.805
clknet_4_9__leaf_clk,445.47
_1620_,444.55
_2318_,441.98
_1629_,441.12
net18,440.62
net75,438.22
_1882_,437.88
_2120_,437.76
_1544_,436.285
_3063_,435.31
_2062_,433.46
net41,433.34
_1117_,427.68
_1786_,423.34
_1445_,422.88
clknet_4_4__leaf_clk,422.055
_2777_,421.76
_2021_,420.855
clknet_4_8__leaf_clk,418.59
_1681_,418.37
_1058_,418.24
_2170_,417.12
net8,413.68
_1571_,413.54
_1570_,410.665
_2064_,410.54
_1118_,410.49
net30,410.4
_2886_,410.19
_1060_,409.07
_2022_,407.35
_1680_,407.28
net23,405.66
net35,400.66
_1263_,397.09
_2703_,396.64
net47,395.84
_2144_,395.76
_2922_,392.92
_2156_,392
_2850_,388.91
net52,384.58
_3751_,384.02
_1759_,383.195
_1075_,383.1
_1596_,381.66
_1619_,381.32
_3390_,379
_1446_,377.35
_1175_,375.48
clknet_4_3__leaf_clk,375.1
_2145_,374.08
clknet_4_11__leaf_clk,373.88
_2150_,372
_2553_,371.76
_1435_,371.27
_1044_,370.22
_1139_,369.62
_3318_,367.9
_1043_,367.78
_3715_,365.04
_3002_,362.68
_2058_,362.03
_2059_,359.5
_1448_,359.06
_1999_,358.82
_3643_,358.58
net36,358.065
_1580_,357.14
clknet_4_0__leaf_clk,357.055
clknet_4_1__leaf_clk,356.53
net46,356.34
clknet_4_7__leaf_clk,354.53
_1508_,354.52
_1300_,353.35
net34,353.28
_2741_,353.2
net20,352.28
_2813_,349
_1436_,348.99
_2047_,341.92
_2151_,340.66
_1844_,339.68
_1562_,338.08
_1282_,336.94
net31,334.98
_1561_,334.89
_1509_,329.55
net44,328.5
_2049_,328.3
_1547_,327.9
_1449_,327.2
clknet_4_6__leaf_clk,326.54
_3607_,326.275
_1301_,322.9
net16,321.78
_1640_,321.58
_3011_,321.02
_1868_,320.72
_1611_,319.9
_1719_,319.86
_1447_,316.655
_2399_,316.5
_3013_,311.24
_1527_,310.695
_2218_,309.22
_2118_,308.62
_1262_,304.54
_2675_,302.94
_1159_,302.04
_2086_,299.04
net42,296.775
_2959_,296.62
_3038_,296.16
_1528_,294.595
_3055_,290.915
_2648_,286.4
_1663_,284.36
_2541_,283.6
_3005_,282.505
_1092_,279.04
_2442_,276.88
_3034_,273.94
_3028_,273.87
_3679_,271.32
_3015_,269.87
clknet_4_10__leaf_clk,267.51
net77,265.66
_1257_,265.6
_2665_,265.03
_3042_,265.02
_3049_,264.14
_2102_,263.555
_3462_,262.96
_3032_,260.04
_1418_,258.26
_3044_,257.7
_2650_,257.46
_1194_,257.38
_2995_,257.38
_2636_,257.34
_2466_,257.02
_3047_,256.8
_3001_,255.9
_3026_,255.28
_2692_,254.74
_2639_,254.52
net54,253.68
_3007_,250.345
_1887_,250.34
_2677_,249.895
_1613_,248.46
_1211_,248.24
_3051_,248.18
_2669_,247.3
_2588_,244.98
_2601_,241.38
_2667_,240.9
net38,240.7
_3023_,240.68
_2991_,240.22
_2632_,238.46
_2656_,238.16
_2660_,237.18
net27,235.9
_2688_,235.26
_3040_,235.15
_3036_,234.46
_3053_,232.915
_2679_,232.34
_3021_,230.88
_2642_,229.38
_1797_,228.54
_1298_,226.66
_2136_,221.36
_1055_,221.02
_2070_,220.46
_2989_,220.22
_3009_,220.14
_2564_,220.04
_1434_,219.5
_2599_,219.35
_2671_,218.76
_2549_,215.64
_2586_,215.3
_1814_,214.92
_1980_,214.02
_2658_,214
_2646_,213.82
_2652_,212.42
_1615_,212.095
_2644_,211.735
_2580_,211.68
_2997_,211.06
_2681_,209.8
_2562_,209.1
_2319_,207.07
_1227_,206.86
_2663_,206.42
_2558_,206
_2686_,205.255
_1737_,204.655
_1353_,203.055
_2993_,202.52
net70,202.04
_2195_,201.92
_2611_,201.77
_2560_,201.72
_2590_,201.72
_2015_,200.275
_2556_,200.2
_2582_,199.76
_2673_,199.4
_2595_,198.78
_3017_,198.72
_2684_,198.24
_2628_,198.15
_2614_,196
_1370_,194.7
_2584_,194.2
_2609_,193.355
_2654_,192.84
_1477_,192.68
clknet_leaf_118_clk,192.56
_3030_,192.215
_2622_,192.12
_2597_,189.4
_2593_,188.54
_2634_,184.52
_2626_,181.12
_2046_,179.62
_2690_,178.56
_2616_,177.3
_2031_,177.24
_2576_,176.66
_3019_,176.12
_2578_,175.25
_2620_,174.8
_2999_,174.6
_2630_,173.3
_2607_,172
_1964_,169.82
_3426_,169.82
_2605_,168.49
_2603_,168.38
_2569_,168.24
_3174_,166.4
_1828_,165.16
_3498_,163.22
_3571_,163.14
clknet_leaf_72_clk,162.64
_2618_,162.08
_2320_,161.68
clknet_leaf_23_clk,161.22
_1491_,160.94
_3246_,159.4
clknet_leaf_64_clk,159.36
_2333_,158.76
clknet_leaf_135_clk,157.7
clknet_leaf_83_clk,156.84
clknet_leaf_12_clk,156.22
clknet_leaf_50_clk,156.12
_2624_,155.82
_3535_,155.02
_2574_,150.25
clknet_3_5_0_clk,150.04
_2321_,148.82
clknet_leaf_138_clk,147.595
_2379_,146.92
clknet_3_3_0_clk,146.46
clknet_3_1_0_clk,145.98
clknet_3_2_0_clk,145.49
_2566_,145.22
clknet_leaf_62_clk,144.38
clknet_3_4_0_clk,144.01
_3210_,142.68
clknet_3_6_0_clk,140.65
_2572_,139.68
clknet_leaf_146_clk,136.34
clknet_leaf_86_clk,134.76
clknet_leaf_127_clk,134.3
_1775_,134.12
clknet_3_0_0_clk,133.61
clknet_leaf_3_clk,131.56
_1033_,130.06
clknet_3_7_0_clk,129.87
clknet_leaf_44_clk,128.72
_2702_,127.72
clknet_leaf_54_clk,126.44
_1041_,126.04
clknet_leaf_20_clk,122.94
_3101_,121.83
clknet_leaf_74_clk,121.22
_1179_,120.94
clknet_leaf_150_clk,120.02
clknet_leaf_5_clk,118.94
clknet_leaf_104_clk,118.195
clknet_leaf_121_clk,116.275
_2348_,115.74
_1919_,115.44
clknet_leaf_98_clk,115.14
clknet_leaf_129_clk,114.13
clknet_leaf_21_clk,113.66
clknet_leaf_65_clk,113.62
clknet_leaf_145_clk,113.18
clknet_leaf_103_clk,113.04
clknet_leaf_75_clk,111.44
clknet_leaf_143_clk,111.06
clknet_leaf_22_clk,110.7
clknet_leaf_139_clk,110.52
_1507_,110.16
_1903_,110.06
clknet_leaf_4_clk,109.88
clknet_leaf_68_clk,108.1
clknet_leaf_53_clk,107.94
clknet_leaf_7_clk,107.82
clknet_leaf_140_clk,107.65
clknet_leaf_0_clk,107.32
clknet_leaf_125_clk,106.44
_1726_,106.42
_2419_,106.42
clknet_leaf_95_clk,106
clknet_leaf_9_clk,105.205
_1802_,104.8
clknet_leaf_141_clk,104.26
clknet_leaf_32_clk,104
_3354_,103.9
clknet_leaf_124_clk,103.86
clknet_leaf_19_clk,103.45
clknet_leaf_61_clk,103.11
clknet_leaf_38_clk,102.74
_1605_,102.68
clknet_leaf_85_clk,102.66
clknet_leaf_107_clk,102.48
_1321_,101.94
clknet_leaf_27_clk,101.5
clknet_leaf_126_clk,100.04
clknet_leaf_17_clk,99.92
_1337_,99.62
clknet_leaf_28_clk,99.16
_2396_,99.145
clknet_leaf_131_clk,98.7
clknet_leaf_51_clk,98.6
clknet_leaf_100_clk,98.4
clknet_leaf_10_clk,98.24
_1111_,98.16
clknet_leaf_123_clk,98.1
clknet_leaf_84_clk,97.4
clknet_leaf_149_clk,96.9
_1183_,96.78
clknet_leaf_77_clk,96.24
clknet_leaf_120_clk,95.42
clknet_leaf_73_clk,94.86
clknet_leaf_105_clk,93.54
clknet_leaf_71_clk,93.3
clknet_leaf_106_clk,93.26
clknet_leaf_47_clk,92.86
clknet_leaf_119_clk,92.72
clknet_leaf_59_clk,92.38
clknet_leaf_148_clk,92.28
clknet_leaf_116_clk,91.8
clknet_leaf_87_clk,91.64
clknet_leaf_43_clk,91.5
clknet_leaf_136_clk,91.4
_1243_,91.22
clknet_leaf_49_clk,90.82
_3137_,90.48
clknet_leaf_25_clk,90.16
clknet_leaf_102_clk,89.26
_3099_,88.5
clknet_leaf_134_clk,88.04
clknet_leaf_31_clk,87.86
clknet_leaf_60_clk,87.7
clknet_leaf_132_clk,87.66
clknet_leaf_69_clk,87.56
clknet_leaf_137_clk,87.38
clknet_leaf_153_clk,87.33
clknet_leaf_67_clk,86.74
clknet_leaf_30_clk,86.6
clknet_leaf_58_clk,85.8
clknet_leaf_111_clk,85.8
clknet_leaf_45_clk,85.64
clknet_leaf_109_clk,85.64
clknet_leaf_94_clk,85.415
clknet_leaf_122_clk,84.9
clknet_leaf_34_clk,84.7
_1054_,84.64
clknet_leaf_39_clk,84.64
_2464_,84.12
clknet_leaf_96_clk,83.865
clknet_leaf_46_clk,82.76
clknet_leaf_99_clk,82.74
_2262_,82.26
clknet_leaf_91_clk,81.3
clknet_leaf_133_clk,80.46
clknet_leaf_42_clk,80.2
clknet_leaf_15_clk,80.175
_1146_,80.12
